row_no,machine_id,status,reason,detail
2,4985,skipped,status_not_ready,status_not_ready
3,4994,skipped,status_not_ready,status_not_ready
4,4958,skipped,status_not_ready,status_not_ready
5,4963,skipped,status_not_ready,status_not_ready
6,4962,skipped,status_not_ready,status_not_ready
7,4982,skipped,status_not_ready,status_not_ready
8,4991,skipped,status_not_ready,status_not_ready
9,4990,skipped,status_not_ready,status_not_ready
10,4988,skipped,status_not_ready,status_not_ready
11,4989,skipped,status_not_ready,status_not_ready
12,4976,skipped,status_not_ready,status_not_ready
13,4978,skipped,status_not_ready,status_not_ready
14,4977,skipped,status_not_ready,status_not_ready
17,4957,error,parse_error_bonus,parse_error_bonus: 当たり2=bonus_2/全武装展開　FULL BURST ATTACK/1500/950/3/mode_950/mode_3/継続/
19,4946,error,parse_error_bonus,"parse_error_bonus: 当たり5=bonus_5/ゴールデンタイム/4500/300,600,900,1200/////"
23,4935,error,parse_error_bonus,parse_error_bonus: 当たり4=bonus_4/ツラヌキBONUS/3000///mode_1/mode_1/RUSH継続/bonus_5
26,4979,error,parse_error_bonus,parse_error_bonus: 当たり1=bonus_1/決戦の刻/350///mode_0/mode_0/通常へ/; 当たり2=bonus_2/決戦の刻/350///mode_0/mode_1/RUSH突入/; 当たり3=bonus_3/OVER斬BONUS EXTRA/700///mode_0/mode_2/LT/bonus_3
27,4955,error,parse_error_bonus,parse_error_bonus: 当たり1=bonus_1/決戦の時/300///mode_0/mode_0/通常へ/; 当たり2=bonus_2/決戦の刻/300///mode_0/mode_1/RUSH突入/; 当たり3=bonus_3/OVER斬BONUS EXTRA/1000///mode_0/mode_3//
28,4967,error,parse_error_bonus,parse_error_bonus: 当たり1=bonus_1/BONUS/300///mode_0/mode_0/通常へ/; 当たり2=bonus_2/BONUS/300///mode_0/mode_1/GHOST RUSH 突入/; 当たり3=bonus_3/SUPER GHOST BONUS/300///mode_0/mode_1/GHOST RUSH 突入/
29,4927,error,parse_error_bonus,parse_error_bonus: 当たり1=bonus_1/BONUS/200///mode_0/mode_0/通常へ/; 当たり2=bonus_2/BONUS/200///mode_0/mode_1/夢幻闘双 突入/; 当たり3=bonus_3/真・幻闘BONUS/200///mode_0/mode_1/夢幻闘双 突入/
30,4952,skipped,status_not_ready,status_not_ready
31,4947,skipped,status_not_ready,status_not_ready
32,4944,skipped,status_not_ready,status_not_ready
33,4923,skipped,status_not_ready,status_not_ready
34,4960,skipped,status_not_ready,status_not_ready
35,4951,skipped,status_not_ready,status_not_ready
36,4959,skipped,status_not_ready,status_not_ready
37,4945,skipped,status_not_ready,status_not_ready
38,4953,skipped,status_not_ready,status_not_ready
39,4949,skipped,status_not_ready,status_not_ready
40,4948,skipped,status_not_ready,status_not_ready
41,4933,skipped,status_not_ready,status_not_ready
42,4937,skipped,status_not_ready,status_not_ready
43,4938,skipped,status_not_ready,status_not_ready
44,4916,skipped,status_not_ready,status_not_ready
45,4910,skipped,status_not_ready,status_not_ready
46,4932,skipped,status_not_ready,status_not_ready
47,4939,skipped,status_not_ready,status_not_ready
48,4936,skipped,status_not_ready,status_not_ready
49,4934,skipped,status_not_ready,status_not_ready
50,4919,skipped,status_not_ready,status_not_ready
51,4917,skipped,status_not_ready,status_not_ready
52,4940,skipped,status_not_ready,status_not_ready
53,4905,skipped,status_not_ready,status_not_ready
54,4894,skipped,status_not_ready,status_not_ready
55,4915,skipped,status_not_ready,status_not_ready
56,4907,skipped,status_not_ready,status_not_ready
57,4918,skipped,status_not_ready,status_not_ready
58,4897,skipped,status_not_ready,status_not_ready
59,4908,skipped,status_not_ready,status_not_ready
60,4920,skipped,status_not_ready,status_not_ready
61,4914,skipped,status_not_ready,status_not_ready
62,4875,skipped,status_not_ready,status_not_ready
63,4899,skipped,status_not_ready,status_not_ready
64,4922,skipped,status_not_ready,status_not_ready
65,4882,skipped,status_not_ready,status_not_ready
66,4884,skipped,status_not_ready,status_not_ready
67,4890,skipped,status_not_ready,status_not_ready
68,4876,skipped,status_not_ready,status_not_ready
69,4872,skipped,status_not_ready,status_not_ready
70,4863,skipped,status_not_ready,status_not_ready
71,4879,skipped,status_not_ready,status_not_ready
72,4902,skipped,status_not_ready,status_not_ready
73,4889,skipped,status_not_ready,status_not_ready
74,4887,skipped,status_not_ready,status_not_ready
75,4862,skipped,status_not_ready,status_not_ready
76,4900,skipped,status_not_ready,status_not_ready
77,4901,skipped,status_not_ready,status_not_ready
78,4878,skipped,status_not_ready,status_not_ready
79,4888,skipped,status_not_ready,status_not_ready
80,4874,skipped,status_not_ready,status_not_ready
81,4859,skipped,status_not_ready,status_not_ready
82,4869,skipped,status_not_ready,status_not_ready
83,4857,skipped,status_not_ready,status_not_ready
84,4881,skipped,status_not_ready,status_not_ready
85,4858,skipped,status_not_ready,status_not_ready
86,4883,skipped,status_not_ready,status_not_ready
87,4886,skipped,status_not_ready,status_not_ready
88,4871,skipped,status_not_ready,status_not_ready
89,4852,skipped,status_not_ready,status_not_ready
90,4870,skipped,status_not_ready,status_not_ready
91,4868,skipped,status_not_ready,status_not_ready
92,4861,skipped,status_not_ready,status_not_ready
93,4856,skipped,status_not_ready,status_not_ready
94,4866,skipped,status_not_ready,status_not_ready
95,4837,skipped,status_not_ready,status_not_ready
96,4864,skipped,status_not_ready,status_not_ready
97,4851,skipped,status_not_ready,status_not_ready
98,4865,skipped,status_not_ready,status_not_ready
99,4867,skipped,status_not_ready,status_not_ready
100,4838,skipped,status_not_ready,status_not_ready
101,4832,skipped,status_not_ready,status_not_ready
102,4848,skipped,status_not_ready,status_not_ready
103,4823,skipped,status_not_ready,status_not_ready
104,4844,skipped,status_not_ready,status_not_ready
105,4819,skipped,status_not_ready,status_not_ready
106,4820,skipped,status_not_ready,status_not_ready
107,4846,skipped,status_not_ready,status_not_ready
108,4845,skipped,status_not_ready,status_not_ready
109,4835,skipped,status_not_ready,status_not_ready
110,4826,skipped,status_not_ready,status_not_ready
111,4827,skipped,status_not_ready,status_not_ready
112,4840,skipped,status_not_ready,status_not_ready
113,4822,skipped,status_not_ready,status_not_ready
114,4836,skipped,status_not_ready,status_not_ready
115,4839,skipped,status_not_ready,status_not_ready
116,4815,skipped,status_not_ready,status_not_ready
117,4796,skipped,status_not_ready,status_not_ready
118,4828,skipped,status_not_ready,status_not_ready
119,4810,skipped,status_not_ready,status_not_ready
120,4811,skipped,status_not_ready,status_not_ready
121,4816,skipped,status_not_ready,status_not_ready
122,4825,skipped,status_not_ready,status_not_ready
123,4829,skipped,status_not_ready,status_not_ready
124,4802,skipped,status_not_ready,status_not_ready
125,4808,skipped,status_not_ready,status_not_ready
126,4787,skipped,status_not_ready,status_not_ready
127,4785,skipped,status_not_ready,status_not_ready
128,4804,skipped,status_not_ready,status_not_ready
129,4818,skipped,status_not_ready,status_not_ready
130,4798,skipped,status_not_ready,status_not_ready
131,4784,skipped,status_not_ready,status_not_ready
132,4786,skipped,status_not_ready,status_not_ready
133,4795,skipped,status_not_ready,status_not_ready
134,4809,skipped,status_not_ready,status_not_ready
135,4817,skipped,status_not_ready,status_not_ready
136,4780,skipped,status_not_ready,status_not_ready
137,4781,skipped,status_not_ready,status_not_ready
138,4779,skipped,status_not_ready,status_not_ready
139,4766,skipped,status_not_ready,status_not_ready
140,4792,skipped,status_not_ready,status_not_ready
141,4769,skipped,status_not_ready,status_not_ready
142,4762,skipped,status_not_ready,status_not_ready
143,4775,skipped,status_not_ready,status_not_ready
144,4794,skipped,status_not_ready,status_not_ready
145,4759,skipped,status_not_ready,status_not_ready
146,4773,skipped,status_not_ready,status_not_ready
147,4793,skipped,status_not_ready,status_not_ready
148,4772,skipped,status_not_ready,status_not_ready
149,4764,skipped,status_not_ready,status_not_ready
150,4782,skipped,status_not_ready,status_not_ready
151,4765,skipped,status_not_ready,status_not_ready
152,4771,skipped,status_not_ready,status_not_ready
153,4743,skipped,status_not_ready,status_not_ready
154,4750,skipped,status_not_ready,status_not_ready
155,4747,skipped,status_not_ready,status_not_ready
156,4767,skipped,status_not_ready,status_not_ready
157,4746,skipped,status_not_ready,status_not_ready
158,4774,skipped,status_not_ready,status_not_ready
159,4768,skipped,status_not_ready,status_not_ready
160,4758,skipped,status_not_ready,status_not_ready
161,4748,skipped,status_not_ready,status_not_ready
162,4738,skipped,status_not_ready,status_not_ready
163,4761,skipped,status_not_ready,status_not_ready
164,4726,skipped,status_not_ready,status_not_ready
165,4760,skipped,status_not_ready,status_not_ready
166,4721,skipped,status_not_ready,status_not_ready
167,4722,skipped,status_not_ready,status_not_ready
168,4755,skipped,status_not_ready,status_not_ready
169,4723,skipped,status_not_ready,status_not_ready
170,4740,skipped,status_not_ready,status_not_ready
171,4735,skipped,status_not_ready,status_not_ready
172,4733,skipped,status_not_ready,status_not_ready
